year,week,is_blocking,closest_center_label,time
1980,41,1,W,1980-10-07
1980,42,1,W,1980-10-14
1980,43,1,N,1980-10-21
1980,44,0,,1980-10-28
1980,45,0,,1980-11-04
1980,46,0,,1980-11-11
1980,47,0,,1980-11-18
1980,48,0,,1980-11-25
1980,49,0,,1980-12-02
1980,50,0,,1980-12-09
1980,51,0,,1980-12-16
1980,52,0,,1980-12-23
1981,1,0,,1981-01-01
1981,2,0,,1981-01-08
1981,3,0,,1981-01-15
1981,4,0,,1981-01-22
1981,5,0,,1981-01-29
1981,6,0,,1981-02-05
1981,7,0,,1981-02-12
1981,8,0,,1981-02-19
1981,9,0,,1981-02-26
1981,10,0,,1981-03-05
1981,11,0,,1981-03-12
1981,12,0,,1981-03-19
1981,13,0,,1981-03-26
1981,14,0,,1981-04-02
1981,15,0,,1981-04-09
1981,16,0,,1981-04-16
1981,17,0,,1981-04-23
1981,18,0,,1981-04-30
1981,19,0,,1981-05-07
1981,20,0,,1981-05-14
1981,21,0,,1981-05-21
1981,22,0,,1981-05-28
1981,23,0,,1981-06-04
1981,24,0,,1981-06-11
1981,25,0,,1981-06-18
1981,26,0,,1981-06-25
1981,27,0,,1981-07-02
1981,28,0,,1981-07-09
1981,29,0,,1981-07-16
1981,30,0,,1981-07-23
1981,31,0,,1981-07-30
1981,32,0,,1981-08-06
1981,33,0,,1981-08-13
1981,34,0,,1981-08-20
1981,35,1,S,1981-08-27
1981,36,1,E,1981-09-03
1981,37,1,N,1981-09-10
1981,38,0,,1981-09-17
1981,39,1,W,1981-09-24
1981,40,1,W,1981-10-01
1981,41,0,,1981-10-08
1981,42,0,,1981-10-15
1981,43,0,,1981-10-22
1981,44,0,,1981-10-29
1981,45,0,,1981-11-05
1981,46,0,,1981-11-12
1981,47,0,,1981-11-19
1981,48,0,,1981-11-26
1981,49,0,,1981-12-03
1981,50,0,,1981-12-10
1981,51,0,,1981-12-17
1981,52,0,,1981-12-24
1981,53,0,,1981-12-31
1982,1,0,,1982-01-01
1982,2,0,,1982-01-08
1982,3,0,,1982-01-15
1982,4,0,,1982-01-22
1982,5,0,,1982-01-29
1982,6,0,,1982-02-05
1982,7,0,,1982-02-12
1982,8,0,,1982-02-19
1982,9,0,,1982-02-26
1982,10,0,,1982-03-05
1982,11,0,,1982-03-12
1982,12,0,,1982-03-19
1982,13,0,,1982-03-26
1982,14,0,,1982-04-02
1982,15,0,,1982-04-09
1982,16,0,,1982-04-16
1982,17,0,,1982-04-23
1982,18,0,,1982-04-30
1982,19,0,,1982-05-07
1982,20,0,,1982-05-14
1982,21,0,,1982-05-21
1982,22,0,,1982-05-28
1982,23,0,,1982-06-04
1982,24,0,,1982-06-11
1982,25,0,,1982-06-18
1982,26,0,,1982-06-25
1982,27,0,,1982-07-02
1982,28,0,,1982-07-09
1982,29,0,,1982-07-16
1982,30,1,N,1982-07-23
1982,31,1,W,1982-07-30
1982,32,0,,1982-08-06
1982,33,0,,1982-08-13
1982,34,0,,1982-08-20
1982,35,1,N,1982-08-27
1982,36,1,N,1982-09-03
1982,37,1,N,1982-09-10
1982,38,1,N,1982-09-17
1982,39,1,N,1982-09-24
1982,40,1,W,1982-10-01
1982,41,0,,1982-10-08
1982,42,0,,1982-10-15
1982,43,0,,1982-10-22
1982,44,0,,1982-10-29
1982,45,0,,1982-11-05
1982,46,0,,1982-11-12
1982,47,0,,1982-11-19
1982,48,0,,1982-11-26
1982,49,0,,1982-12-03
1982,50,0,,1982-12-10
1982,51,0,,1982-12-17
1982,52,0,,1982-12-24
1982,53,0,,1982-12-31
1983,1,0,,1983-01-01
1983,2,0,,1983-01-08
1983,3,0,,1983-01-15
1983,4,0,,1983-01-22
1983,5,0,,1983-01-29
1983,6,0,,1983-02-05
1983,7,0,,1983-02-12
1983,8,0,,1983-02-19
1983,9,0,,1983-02-26
1983,10,0,,1983-03-05
1983,11,0,,1983-03-12
